,name,latitude,longitude,close_count
9065,TEN SUSHI FACTORIA MALL,47.5749646726,-122.171255046,1
9076,TERIYAKI BISTRO,47.5474654914,-122.040569299,1
9105,THAAL GRAND INDIAN PLATTER,47.62147207,-122.1316883,1
9107,THAI BISTRO RESTAURANT,47.2894304456,-122.3137707696,1
9244,"THE SPOT WEST SEATTLE, LLC",47.5704253956,-122.3709134945,1
9348,TML CART,47.56120838,-122.33871695,1
9372,TOP GUN OF BELLEVUE,47.577962309,-122.1724240919,1
9409,TOSHI'S TERIYAKI,47.7586018613,-122.2486834307,1
9421,TOULOUSE PETIT KITCHEN & LOUNGE,47.6247323574,-122.3569098631,1
9519,TUTTA BELLA NEAPOLITAN PIZZARI,47.6179776698,-122.3380900477,1
9702,VESSEL WA OPERATIONS LLC - 5350 (KC922),47.58705924,-122.33372877,1
9717,VICTORIA'S ANTOJOS LOCOS,47.4586305542,-122.2597714505,1
9794,WALAALAHA MINI MARKET,47.52897378,-122.26977479,1
9940,WET MEX,47.73503888,-122.31243582,1
10121,YELLOW BUTTERFLY COFFEE,47.6021105755,-122.3312521575,1
10131,YOKO 3,47.5657773352,-122.0057725898,1
10146,YUMBIT (KC298),47.66015578,-122.31340336,1
10195,YUMMY PHO,47.6815900755,-122.1231884489,1
