,name,latitude,longitude,close_count
1305,BOMBAY GRILL,47.7184357704,-122.2954726829,3
3809,HANAHREUM MART,47.3219667765,-122.3152554577,3
5614,MEDITERRANEAN MIX,47.6006650971,-122.3345079004,3
7465,ROYAL INDIA,47.7051530488,-122.21251659,3
