,name,latitude,longitude,close_count
1344,BOUMBA HOTDOG,47.6134371663,-122.3146809056,2
2642,DOG IN THE PARK,47.62170689,-122.34946029,2
3565,GOLDEN DAISY RESTAURANT,47.5804933902,-122.3130478472,2
3846,HARBOR CITY RESTAURANT,47.5982130871,-122.3233961673,2
6809,PIONEER GRILL@VARAMINI COMMISSARY,47.586432,-122.333779,2
